timestamp,transactionHash,maker_address,market_slug,outcome,side,price,size,volume_usd,market_title
1766188189,0xcb98f7724ae1933f0de27d2cb634a3fe2b2050d3881fecc28a0d9cbfe89c7b82,0x44551522c7b8beab2164c36f04f5fd65c47298e5,nba-phi-nyk-2025-12-19,Knicks,BUY,0.689999998965,144.927535,99.999999,76ers vs. Knicks
1766188189,0xea9f10efe762a9b87531b14d6fac7251464da66167a43f0a13ed7bbff552addb,0xb8d14d0488bee8a3f1403d118ba876f2e6ee40c3,eth-updown-15m-1766187900,Down,BUY,0.7154264967757024,91.833332,65.699999,Ethereum Up or Down - December 19. 6:45PM-7:00PM ET
1766188283,0x7491fa8569154cfb9c14535acb1fe6ba8dbc22b19399a557e8358ac2ccdccc58,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,eth-updown-15m-1766187900,Down,BUY,0.79,126,99.54,Ethereum Up or Down - December 19. 6:45PM-7:00PM ET
1766188283,0x21e714fa2d7269d8e55ccbe877d63ac391fd776ccc359dce516320e40cef3643,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,eth-updown-15m-1766187900,Down,BUY,0.78,156.92,122.3976,Ethereum Up or Down - December 19. 6:45PM-7:00PM ET
1766188283,0x5374175d24c252aadbfaec4ae1246268ad36ddc6f2c168c80187ba18873eb61a,0x7f69983eb28245bba0d5083502a78744a8f66162,btc-updown-15m-1766187900,Down,BUY,0.78,75,58.5,Bitcoin Up or Down - December 19. 6:45PM-7:00PM ET
1766188281,0x2f5617dfd9040c9583b90f5c48daf70317fd013ace403d99c1e7bef7fcb985f3,0xff587844872c05c9d5dcb1ebcff75e6133befbc7,will-the-fight-end-in-another-outcome,Yes,BUY,0.03623992464242948,12469.672701,451.89999900000004,Will Jake Paul vs. Anthony Joshua have no official winner?
1766188281,0xbf7abe04b8e9366164e676ab1b3fd3aecadd5c09b8546dad2829b552a0f863c2,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,xrp-updown-15m-1766187900,Up,BUY,0.7230674846625766,163,117.86,XRP Up or Down - December 19. 6:45PM-7:00PM ET
1766188281,0xccb6e9c3a7191ae74e56889194384973aee5f6c37d9ec987fe974bf6a8af46a1,0xd218e474776403a330142299f7796e8ba32eb5c9,will-jake-paul-win-his-boxing-match-against-anthony-joshua,No,BUY,0.915,4340,3971.1000000000004,Will Jake Paul win his boxing match against Anthony Joshua?
1766188281,0xc763b0a6128177ccf61b870ab542039791b6d0137a0add4358d04a1b06c70b9e,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,will-anthony-joshua-win-his-boxing-match-against-jake-paul,No,BUY,0.1199999995850443,1927.916665,231.349999,Will Anthony Joshua win his boxing match against Jake Paul?
1766188281,0x248bd975db60a2c6b7e7bad1e427b6734ed2e2b43e3c25099eb62523e16ab112,0xd218e474776403a330142299f7796e8ba32eb5c9,will-anthony-joshua-win-his-boxing-match-against-jake-paul,No,BUY,0.12,4340,520.8,Will Anthony Joshua win his boxing match against Jake Paul?
1766188373,0x2750d3258eddbb2a31ecf4957697c67bd15906b2f63efe5cef64b3fd6386b3e5,0xac54fc90bd6c7e611b3d2acc28384e42991db559,will-monaco-win-the-202526-champions-league,No,SELL,0.996,69,68.724,Will Monaco win the 2025–26 Champions League?
1766188373,0x9d0829b03ee1f9ac1ec2ac9ddffb061c0270aa0affdec4e47008e74e51f26e65,0x65fe44d1f9cb32a27a37a720547243bcdc359b1f,will-michael-jackson-be-named-in-newly-released-epstein-files,Yes,BUY,0.66,151.51515,99.999999,Will Michael Jackson be named in newly released Epstein files?
1766188371,0xe7c49806da104fca31bd2e9b577f78a19d3ba8e228caca1c72f6176b45ce6dc9,0xbbe9bb7826bff6c8b623cff44473e59f8863aa4c,will-the-fight-end-in-another-outcome,Yes,BUY,0.0339999994594,1764.705881,59.999999,Will Jake Paul vs. Anthony Joshua have no official winner?
1766188371,0x758a64854d9c83cc126361e2cecacb993bce2a82499f8ec4bb62a0ff2129894a,0x3804fb6b5781d6829f2ac3967647e98021b66136,nba-sas-atl-2025-12-19,Spurs,BUY,0.61,239,145.79,Spurs vs. Hawks
1766188371,0xf89ff04a11684b7ecc10eeb1a6ccae249e2dcc549014a640797dab8628791710,0xd218e474776403a330142299f7796e8ba32eb5c9,will-the-fight-end-in-a-draw-395,No,BUY,0.983,128.83,126.63989000000001,Will the fight end in a draw?
1766188371,0x5a9e0e8d5a74700c888e82726d3237ce1b43c2239c1672753a97133a2b082945,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,will-jake-paul-win-by-kotkodq-811,No,BUY,0.9629999998798214,108.172351,104.16997400000001,Will Jake Paul win by KO/TKO/DQ?
1766188371,0xd2e3f48c3c0d4462645b5633d72626b097ad2c831078afcb6ac1ca6f9659179e,0xd218e474776403a330142299f7796e8ba32eb5c9,will-anthony-joshua-win-by-points-or-technical-decision-459,No,BUY,0.84,128.83,108.2172,Will Anthony Joshua win by decision or technical decision?
1766188371,0x355999d5dc294babef0cf1a49fb5bc1fd823b8c96ec51e5a2f5d46496b9b753a,0xd218e474776403a330142299f7796e8ba32eb5c9,will-jake-paul-win-by-points-or-technical-decision-691,No,BUY,0.965,128.83,124.32095000000001,Will Jake Paul win by decision or technical decision?
1766188371,0x8cc6aca88f259e9234960731580b904e77767852e6d7671d189fab1ee6c2f30e,0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,will-anthony-joshua-win-by-points-or-technical-decision-459,No,BUY,0.839999998890723,108.178568,90.869997,Will Anthony Joshua win by decision or technical decision?
1766188463,0x8ca0c446d27415f9930737e8d20ffa73653f34330cb77ecb587f83c13665148c,0x08458f7e9d2858027de579e4c3ca305475496b6f,will-charlie-kirk-win-the-nobel-peace-prize-in-2026,No,SELL,0.99,370,366.3,Will Charlie Kirk win the Nobel Peace Prize in 2026?
1766188463,0xc8aeb2ee01108d7e581eba6c1c36c6cc3faa5da953fdda583b3eb25f170e1c4b,0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,will-anthony-joshua-win-his-boxing-match-against-jake-paul,No,BUY,0.12,2000,240,Will Anthony Joshua win his boxing match against Jake Paul?
1766188463,0x6eab561fa02af12576b059ead597993654ebb2acdcd944701311958267ca9cbb,0x649a0464dbabf1692d88df490fe0defc672de4bc,nfl-ne-bal-2025-12-21,Ravens,SELL,0.59,381.83,225.2797,Patriots vs. Ravens
1766188463,0x6712cece08ddd6fbd221d12ffb84671e040eb7db3f1b12fa72298100e51a1696,0x6603c53617ffc961bcac103456f024b73930959e,will-jake-paul-win-his-boxing-match-against-anthony-joshua,Yes,BUY,0.08997853747988616,6946.100887,624.9999989999999,Will Jake Paul win his boxing match against Anthony Joshua?
1766188463,0xe0e0e23e248281a90aeb8932f725fa0ff22500b8c0f31c6887b3c7a912a9fb1a,0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,will-the-fight-end-in-another-outcome,No,BUY,0.97,2000,1940,Will Jake Paul vs. Anthony Joshua have no official winner?
1766188551,0x087cc3c867ec8a65242d31085c93a05646d256949240e228c4c3e5eae110254b,0x11b8c98efccfeda7d5fb86931bbd19de3324435f,will-trump-release-the-epstein-files-by-december-19-771,Yes,SELL,0.994,140.71,139.86574000000002,Will Trump release the Epstein files by December 19?
1766188551,0x3f8e4299055269230dad1a11e12eb4f9fdfd2b342b0c5fbdf8765536399cbe70,0x7808d76c5e49a4d95a4398be27652b4096c63046,sol-updown-15m-1766187900,Down,SELL,0.86,72.11,62.0146,Solana Up or Down - December 19. 6:45PM-7:00PM ET
1766188551,0x121512283814c15056b06093e45719fc380fdd57e66823a2c446a486fa7e7d84,0xcb9503ef1e252072bf812f2747bc4f8dbb3aec0a,will-robert-glatzel-be-the-top-goal-scorer-in-the-202526-bundesliga-season,No,BUY,0.999,212.792,212.579208,Will Robert Glatzel be the top goal scorer in the 2025–26 Bundesliga season?
1766188551,0x3a768a1bc42edfc232aa7d2350012ce4e2c490671c107577d501fdc47e4dc847,0x77f4da588947535bcefdd6d6d49a3e06a1f632f4,will-the-golden-state-warriors-win-the-2026-nba-finals,No,SELL,0.978,59.3,57.9954,Will the Golden State Warriors win the 2026 NBA Finals?
